"id","account","purchased_quantity","item_name","item_quantity","item_unit","item_price","category"
1518144548,"anyuser@gmail.com",3,"Choice Beef Chuck Roast",2,"lb",13.98,"meat"
1518144549,"anyuser@gmail.com",2,"Fresh Atlantic Salmon",12,"oz",6.74,"seafood"
1518144550,"anyuser@gmail.com",3,"Crispy Tenders",9,"oz",4.49,"meat"
1518144551,"anyuser@gmail.com",3,"Brussels Sprouts",1,"lb",2.99,"fruits-vegetables"
1518144552,"anyuser@gmail.com",2,"Choice Flat Iron Steak",8,"oz",5.0,"meat"
1518144553,"anyuser@gmail.com",3,"Green Seedless Grapes",2,"lb",5.98,"fruits-vegetables"
1518144554,"anyuser@gmail.com",1,"Yellow Onion",1,"large",1.24,"fruits-vegetables"
1518144555,"anyuser@gmail.com",2,"Cucumber",1,"medium",0.5,"fruits-vegetables"
1518144556,"anyuser@gmail.com",1,"Broccoli",1,"bunch",2.29,"fruits-vegetables"
1518144557,"anyuser@gmail.com",2,"Brussels Sprouts",1,"lb",2.99,"fruits-vegetables"
1518144558,"anyuser@gmail.com",1,"Cilantro",1,"bunch",1.35,"fruits-vegetables"
1518144559,"anyuser@gmail.com",2,"Lean Ground Beef",1,"lb",6.99,"meat"
1518144560,"anyuser@gmail.com",2,"Beef Stew Meat",1,"lb",6.99,"meat"
1518144561,"anyuser@gmail.com",1,"Lean Ground Turkey",16,"oz",3.99,"meat"
1518144562,"anyuser@gmail.com",1,"Cilantro",1,"bunch",1.35,"fruits-vegetables"
1518144563,"anyuser@gmail.com",3,"Choice Beef Chuck Roast",2,"lb",13.98,"meat"
1518144564,"anyuser@gmail.com",3,"Organic Roma Tomatoes",1,"lb",2.49,"fruits-vegetables"
1518144565,"anyuser@gmail.com",1,"Organic Baby Carrots",1,"lb",1.69,"fruits-vegetables"
1518144566,"anyuser@gmail.com",3,"Cauliflower",1,"head",3.99,"fruits-vegetables"
1518144567,"anyuser@gmail.com",3,"Ginger",8,"oz",1.5,"fruits-vegetables"
1518144568,"anyuser@gmail.com",3,"Cilantro",1,"bunch",1.35,"fruits-vegetables"
1518144569,"anyuser@gmail.com",2,"Hand-Trimmed Boneless Skinless Chicken",2,"lb",11.02,"meat"
1518144570,"anyuser@gmail.com",2,"Cauliflower",1,"head",3.99,"fruits-vegetables"
1518144571,"anyuser@gmail.com",2,"Cucumber",1,"medium",0.5,"fruits-vegetables"
1518144572,"anyuser@gmail.com",1,"Red Raspberries",6,"oz",2.99,"fruits-vegetables"
1518144573,"anyuser@gmail.com",1,"Red Raspberries",6,"oz",2.99,"fruits-vegetables"
1518144574,"anyuser@gmail.com",1,"Original Breakfast Sausage Links",12,"oz",3.69,"meat"
1518144575,"anyuser@gmail.com",2,"Cucumber",1,"medium",0.5,"fruits-vegetables"
1518144576,"anyuser@gmail.com",2,"Original Breakfast Sausage Links",12,"oz",3.69,"meat"
1518144577,"anyuser@gmail.com",1,"Boneless Center Cut Pork Chops",1,"lb",6.99,"meat"
1518144578,"anyuser@gmail.com",2,"Cauliflower",1,"head",3.99,"fruits-vegetables"
1518144579,"anyuser@gmail.com",1,"Hass Avocado",1,"large",1.29,"fruits-vegetables"
